year,days,cov_tmean,cov_precp,cov_sunshine,cov_soil0cm,tmean,tmax_mean,tmin_mean,dtr,gdd10,gdd10_doy100,gdd10_doy200,warm_season_start_doy,warm_season_end_doy,warm_season_length,chill_days_tmin10,cold_days_tmean12,last_cold_day_doy,summer_days_tmax30,hot_nights_tmin25,precp_total,rain_days_01,rain_days_1,rain_days_10,rain_days_50,rx1day,rx5day,sdii,max_dry_spell,precp_wet_season,precp_dry_season,sunshine_total,sunshine_daily_mean,ws_mean,tsoil0_mean
1990,365,1.000,0.997,0.000,1.000,18.865,22.857,16.360,6.496,3262.500,35.000,52.000,117.000,278.000,161.000,43.000,42.000,95.000,37.000,0.000,4886.300,219.000,185.000,94.000,27.000,434.200,629.000,26.331,18.000,3015.100,1871.200,,,1.833,20.469
1991,365,1.000,1.000,0.000,1.000,18.863,22.781,16.306,6.475,3275.700,41.000,67.000,100.000,278.000,178.000,46.000,40.000,122.000,56.000,0.000,3464.600,190.000,161.000,84.000,18.000,160.300,321.500,21.439,17.000,1748.100,1716.500,,,2.144,20.330
1992,366,1.000,1.000,0.000,1.000,18.190,22.042,15.798,6.244,3047.600,59.000,78.000,116.000,279.000,163.000,56.000,53.000,81.000,34.000,0.000,4324.200,183.000,159.000,98.000,24.000,261.200,723.600,27.130,17.000,2199.800,2124.400,,,1.753,19.438
1993,365,1.000,1.000,0.000,1.000,18.599,22.983,16.113,6.870,3208.500,43.000,73.000,117.000,274.000,157.000,59.000,60.000,99.000,70.000,0.000,3008.700,166.000,149.000,89.000,12.000,107.600,265.200,20.134,22.000,879.200,2129.500,,,1.825,19.805
1994,365,1.000,1.000,1.000,1.000,18.888,23.056,16.375,6.681,3277.800,36.000,68.000,107.000,266.000,159.000,44.000,40.000,86.000,42.000,0.000,4508.500,170.000,151.000,82.000,23.000,414.200,688.800,29.789,11.000,1928.200,2580.300,1256.200,3.442,1.618,19.094
1995,365,1.000,1.000,1.000,1.000,18.219,22.218,15.799,6.419,3072.400,61.000,86.000,103.000,289.000,186.000,74.000,71.000,93.000,43.000,0.000,2897.500,183.000,157.000,78.000,18.000,174.300,297.900,18.370,19.000,1372.600,1524.900,1370.400,3.755,1.667,19.576
1996,366,1.000,0.997,1.000,1.000,18.551,22.676,16.074,6.602,3189.700,45.000,76.000,119.000,317.000,198.000,65.000,61.000,113.000,41.000,0.000,4577.500,195.000,172.000,87.000,24.000,439.300,747.900,26.546,15.000,2365.800,2211.700,1454.100,3.973,1.759,20.261
1997,365,1.000,1.000,1.000,1.000,18.664,22.791,16.232,6.558,3215.900,55.000,72.000,118.000,297.000,179.000,48.000,47.000,83.000,38.000,0.000,3545.300,185.000,154.000,76.000,17.000,565.000,745.300,22.912,17.000,2433.200,1112.100,1448.200,3.968,1.685,21.199
1998,365,1.000,0.995,1.000,1.000,19.782,23.744,17.400,6.344,3608.200,33.000,62.000,94.000,290.000,196.000,42.000,36.000,92.000,62.000,0.000,5828.800,204.000,176.000,110.000,29.000,543.000,738.800,33.030,14.000,1742.300,4086.500,1271.100,3.482,1.650,21.956
1999,365,1.000,0.995,1.000,1.000,18.850,23.148,16.362,6.786,3285.600,31.000,60.000,132.000,289.000,157.000,39.000,35.000,95.000,44.000,0.000,3495.400,204.000,173.000,74.000,18.000,192.100,427.500,20.129,15.000,1307.400,2188.000,1307.600,3.582,1.670,21.158
2000,366,1.000,1.000,1.000,1.000,18.896,22.723,16.572,6.151,3295.000,23.000,64.000,132.000,322.000,190.000,33.000,34.000,77.000,38.000,0.000,5238.200,208.000,192.000,120.000,24.000,531.000,946.000,27.243,15.000,1773.200,3465.000,1422.300,3.886,2.361,20.914
2001,365,1.000,0.995,1.000,1.000,18.775,22.676,16.322,6.354,3240.000,25.000,54.000,133.000,282.000,149.000,54.000,42.000,102.000,36.000,0.000,5080.100,198.000,170.000,91.000,19.000,685.000,1313.500,29.801,16.000,3842.300,1237.800,1477.600,4.048,2.125,21.170
2002,365,1.000,0.981,1.000,1.000,19.085,23.432,16.592,6.841,3349.200,44.000,64.000,118.000,294.000,176.000,47.000,42.000,66.000,50.000,0.000,2730.900,148.000,134.000,59.000,13.000,195.500,374.000,20.323,19.000,1536.900,1194.000,1605.700,4.399,1.876,21.774
2003,365,1.000,0.978,1.000,1.000,18.784,23.080,16.224,6.856,3262.200,46.000,71.000,123.000,287.000,164.000,60.000,53.000,95.000,67.000,0.000,2400.600,147.000,128.000,60.000,13.000,191.000,331.000,18.680,19.000,1053.000,1347.600,1691.700,4.635,1.918,21.046
2004,366,1.000,0.967,1.000,1.000,18.391,22.465,15.905,6.560,3143.000,46.000,69.000,128.000,276.000,148.000,44.000,39.000,100.000,32.000,0.000,4878.300,174.000,154.000,83.000,20.000,507.500,774.700,31.617,20.000,2911.600,1966.700,1551.400,4.239,1.952,20.372
2005,365,1.000,0.970,0.808,1.000,18.555,22.304,16.211,6.092,3224.500,44.000,79.000,118.000,288.000,170.000,68.000,67.000,103.000,35.000,0.000,4961.900,187.000,172.000,95.000,24.000,346.000,556.000,28.808,13.000,2892.000,2069.900,,,1.962,20.250
2006,365,1.000,0.964,0.970,1.000,18.894,22.545,16.578,5.967,3285.700,30.000,57.000,123.000,302.000,179.000,42.000,35.000,88.000,34.000,0.000,4439.200,199.000,178.000,104.000,18.000,556.500,765.500,24.879,13.000,2859.000,1580.200,1160.200,3.277,2.087,20.813
2007,365,1.000,0.981,0.975,1.000,18.942,22.595,16.738,5.857,3293.300,37.000,55.000,141.000,286.000,145.000,36.000,34.000,109.000,39.000,0.000,5287.700,209.000,181.000,98.000,23.000,448.500,655.500,29.141,19.000,2657.600,2630.100,1175.400,3.302,2.118,20.982
2008,366,1.000,0.981,1.000,1.000,18.722,22.795,16.283,6.512,3249.200,48.000,77.000,142.000,313.000,171.000,57.000,52.000,91.000,36.000,0.000,4814.000,200.000,174.000,92.000,24.000,448.000,1049.000,27.592,12.000,2940.900,1873.100,1426.000,3.896,2.183,20.490
2009,365,1.000,0.964,1.000,1.000,18.762,22.699,16.282,6.418,3257.200,38.000,54.000,129.000,279.000,150.000,50.000,44.000,116.000,42.000,0.000,3403.200,184.000,156.000,71.000,15.000,229.500,454.500,21.735,13.000,1515.900,1887.300,1477.800,4.049,2.035,20.923
2010,365,1.000,0.967,0.981,1.000,18.811,22.696,16.344,6.352,3275.100,33.000,57.000,122.000,299.000,177.000,49.000,45.000,106.000,47.000,0.000,4070.500,181.000,157.000,78.000,19.000,409.500,824.000,25.859,25.000,1735.000,2335.500,1288.600,3.599,1.898,20.730
2011,365,1.000,0.959,1.000,1.000,18.188,21.719,15.897,5.822,3078.800,58.000,93.000,126.000,288.000,162.000,75.000,72.000,95.000,31.000,0.000,4111.200,207.000,185.000,96.000,19.000,330.500,771.000,22.170,16.000,1274.000,2837.200,1133.600,3.106,2.109,19.833
2012,366,1.000,0.954,1.000,1.000,18.648,22.343,16.263,6.080,3217.000,44.000,66.000,133.000,273.000,140.000,49.000,50.000,91.000,38.000,0.000,3904.600,203.000,187.000,100.000,16.000,353.500,663.000,20.837,15.000,,1560.500,1270.000,3.470,2.087,20.142
2013,365,1.000,0.975,1.000,1.000,18.801,22.435,16.388,6.047,3245.600,35.000,57.000,125.000,288.000,163.000,56.000,41.000,121.000,38.000,0.000,4078.000,201.000,175.000,91.000,19.000,333.500,564.500,23.235,19.000,2381.800,1696.200,1350.100,3.699,2.037,20.004
2014,365,1.000,0.964,1.000,1.000,18.772,22.515,16.442,6.072,3257.400,36.000,77.000,129.000,277.000,148.000,67.000,61.000,81.000,36.000,0.000,3206.700,174.000,150.000,79.000,16.000,219.500,305.000,21.304,15.000,1746.800,1459.900,1435.900,3.934,1.828,19.840
2015,365,1.000,0.978,1.000,1.000,19.268,22.993,16.920,6.073,3414.800,51.000,74.000,90.000,282.000,192.000,53.000,51.000,104.000,41.000,0.000,3327.000,183.000,148.000,72.000,10.000,451.500,494.400,22.385,12.000,2240.100,1086.900,1434.100,3.929,1.968,20.535
2016,366,1.000,0.984,1.000,1.000,19.449,23.152,17.084,6.068,3521.400,41.000,69.000,93.000,303.000,210.000,52.000,47.000,89.000,52.000,0.000,4348.300,216.000,186.000,97.000,26.000,320.600,368.700,23.298,15.000,1968.500,2379.800,1364.100,3.727,1.763,20.487
2017,365,1.000,0.989,1.000,1.000,19.135,22.712,16.807,5.905,3360.500,28.000,64.000,105.000,292.000,187.000,54.000,52.000,93.000,52.000,0.000,4808.400,203.000,174.000,99.000,26.000,542.900,853.500,27.554,18.000,1611.300,3197.100,1347.600,3.692,2.063,20.602
2018,365,1.000,0.992,1.000,1.000,19.036,22.808,16.603,6.205,3362.800,45.000,63.000,131.000,300.000,169.000,45.000,37.000,98.000,27.000,0.000,4046.100,191.000,159.000,84.000,23.000,315.700,634.800,25.378,23.000,1814.400,2231.700,1511.800,4.142,1.990,20.633
2019,365,1.000,0.984,1.000,1.000,19.310,22.721,17.087,5.633,3403.100,25.000,47.000,108.000,287.000,179.000,25.000,23.000,83.000,24.000,0.000,4819.500,200.000,173.000,96.000,27.000,283.000,730.000,27.798,9.000,2984.200,1835.300,1341.600,3.676,1.945,20.570
2020,366,1.000,0.989,1.000,1.000,19.220,22.837,16.907,5.930,3406.900,24.000,56.000,121.000,279.000,158.000,34.000,33.000,104.000,51.000,0.000,4712.600,196.000,174.000,100.000,37.000,218.500,494.500,27.019,13.000,1713.100,2999.500,1395.700,3.813,1.908,20.863
2021,365,1.000,0.984,1.000,1.000,19.395,22.942,17.070,5.872,3472.800,38.000,60.000,87.000,290.000,203.000,48.000,38.000,96.000,34.000,0.000,3519.500,164.000,142.000,70.000,22.000,265.000,502.000,24.708,15.000,1560.500,1959.000,1547.100,4.239,2.034,19.242
2022,365,1.000,0.978,1.000,1.000,18.967,22.124,16.787,5.338,3302.700,38.000,68.000,112.000,281.000,169.000,33.000,40.000,93.000,33.000,1.000,6755.500,200.000,179.000,125.000,39.000,456.500,1413.500,37.682,11.000,2113.000,4642.500,1291.400,3.538,2.331,18.885
2023,365,1.000,0.992,1.000,1.000,19.213,22.631,16.889,5.742,3411.100,32.000,59.000,135.000,315.000,180.000,45.000,37.000,73.000,16.000,0.000,2881.000,178.000,155.000,75.000,13.000,196.500,410.500,18.513,14.000,1297.500,1583.500,1464.200,4.012,2.153,19.184
2024,366,1.000,0.995,1.000,1.000,19.339,22.669,17.054,5.616,3468.400,34.000,59.000,102.000,307.000,205.000,56.000,49.000,81.000,31.000,0.000,5047.500,178.000,163.000,86.000,26.000,340.000,662.000,30.920,17.000,1673.500,3374.000,1331.200,3.637,2.033,19.202
2025,365,1.000,0.997,1.000,1.000,19.193,22.512,16.907,5.605,3406.500,58.000,74.000,107.000,304.000,197.000,60.000,52.000,92.000,32.000,0.000,5388.000,182.000,163.000,94.000,28.000,464.500,1707.500,32.997,14.000,1470.500,3917.500,1499.400,4.108,1.973,18.967
2026,253,1.000,1.000,1.000,1.000,19.552,23.117,17.160,5.904,2444.000,44.000,61.000,99.000,,,36.000,32.000,72.000,22.000,0.000,2974.000,114.000,104.000,64.000,15.000,353.000,380.500,28.548,16.000,2511.500,462.500,964.600,3.813,1.681,20.281
