year,days,cov_tmean,cov_precp,cov_sunshine,cov_soil0cm,tmean,tmax_mean,tmin_mean,dtr,gdd10,gdd10_doy100,gdd10_doy200,warm_season_start_doy,warm_season_end_doy,warm_season_length,chill_days_tmin10,cold_days_tmean12,last_cold_day_doy,summer_days_tmax30,hot_nights_tmin25,precp_total,rain_days_01,rain_days_1,rain_days_10,rain_days_50,rx1day,rx5day,sdii,max_dry_spell,precp_wet_season,precp_dry_season,sunshine_total,sunshine_daily_mean,ws_mean,tsoil0_mean
1990,365,0.858,0.858,0.915,0.000,,,,,,,,,,,,,,,,,,,,,,,,,3176.500,,,3.440,,
1991,365,1.000,1.000,1.000,0.000,17.707,23.050,14.779,8.270,2867.200,58.000,78.000,137.000,278.000,141.000,55.000,56.000,123.000,90.000,0.000,2816.500,184.000,157.000,78.000,13.000,126.000,273.000,17.854,15.000,1773.500,1043.000,1540.700,4.221,1.592,
1992,366,1.000,1.000,1.000,0.000,17.085,22.471,14.176,8.295,2654.300,63.000,88.000,124.000,279.000,155.000,73.000,68.000,105.000,65.000,0.000,3759.500,203.000,187.000,100.000,16.000,154.000,513.000,20.061,11.000,2186.500,1573.000,1470.200,4.017,1.587,
1993,365,0.923,0.923,0.469,0.000,20.384,26.041,17.358,8.683,,,,117.000,325.000,208.000,23.000,26.000,,128.000,0.000,,,,,,86.000,164.500,,,,,,,1.525,
1994,365,1.000,1.000,0.773,0.000,20.865,26.405,17.821,8.584,3971.800,17.000,42.000,93.000,293.000,200.000,19.000,16.000,83.000,137.000,1.000,3782.000,186.000,161.000,78.000,16.000,265.000,480.500,23.413,17.000,2019.500,1762.500,,,1.592,
1995,365,1.000,1.000,0.000,0.000,20.034,25.510,17.007,8.503,3671.900,24.000,62.000,103.000,311.000,208.000,36.000,36.000,85.000,131.000,0.000,2368.000,192.000,175.000,71.000,11.000,86.500,152.500,13.483,11.000,1241.500,1126.500,,,1.372,
1996,366,0.943,0.943,0.000,0.000,20.356,25.981,17.338,8.643,,21.000,48.000,117.000,265.000,148.000,31.000,29.000,94.000,125.000,4.000,,,,,,260.500,355.500,,,,,,,1.459,
1997,365,1.000,1.000,0.000,0.000,21.064,27.006,18.067,8.939,4039.300,19.000,35.000,64.000,300.000,236.000,9.000,12.000,25.000,151.000,0.000,3098.500,192.000,165.000,74.000,12.000,319.000,452.000,18.697,13.000,2240.000,858.500,,,1.383,
1998,365,0.869,0.893,0.000,0.000,,,,,,17.000,46.000,,,,,,71.000,,,,,,,,,,,,,2845.500,,,,
1999,365,1.000,1.000,0.000,0.000,20.774,27.094,17.633,9.461,3947.700,21.000,37.000,132.000,316.000,184.000,20.000,18.000,52.000,166.000,0.000,2763.500,205.000,175.000,71.000,12.000,141.000,272.500,15.706,10.000,1787.000,976.500,,,1.533,
2000,366,0.751,0.872,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,365,1.000,1.000,0.000,0.000,20.659,26.110,17.536,8.574,3901.600,19.000,39.000,123.000,310.000,187.000,32.000,24.000,88.000,121.000,3.000,4698.500,205.000,185.000,79.000,21.000,550.000,1156.000,25.343,17.000,3697.000,1001.500,,,2.926,
2002,365,0.962,0.962,0.000,0.000,20.462,24.874,17.653,7.220,3683.900,25.000,56.000,92.000,294.000,202.000,36.000,29.000,66.000,84.000,0.000,2145.500,159.000,139.000,56.000,7.000,134.000,263.000,15.363,21.000,1373.000,,,,2.772,
2003,365,0.975,0.975,0.000,0.000,20.125,24.597,17.251,7.345,3620.900,38.000,56.000,106.000,287.000,181.000,45.000,41.000,79.000,93.000,3.000,1758.000,193.000,161.000,51.000,6.000,109.000,180.000,10.820,18.000,948.500,809.500,,,2.750,
2004,366,1.000,1.000,0.000,0.000,19.778,24.147,16.880,7.267,3617.200,32.000,53.000,108.000,276.000,168.000,34.000,26.000,96.000,97.000,0.000,4638.500,180.000,159.000,80.000,25.000,390.000,631.000,29.107,21.000,2957.500,1681.000,,,2.652,
2005,365,1.000,1.000,0.000,0.000,19.780,23.938,17.053,6.885,3622.900,37.000,61.000,117.000,319.000,202.000,48.000,45.000,84.000,96.000,0.000,4045.500,191.000,171.000,82.000,22.000,211.500,366.500,23.599,14.000,2682.000,1363.500,,,2.587,
2006,365,0.756,0.729,0.000,0.000,,,,,,19.000,46.000,,,,,,73.000,,,,,,,,,,,,,,,,,
2007,365,0.915,0.915,0.000,0.000,19.575,23.546,17.003,6.543,,,,119.000,206.000,87.000,21.000,21.000,,66.000,0.000,,,,,,431.000,651.000,,,,1770.500,,,0.959,
2008,366,1.000,0.973,0.000,0.000,19.605,23.845,16.819,7.025,3555.600,26.000,72.000,142.000,313.000,171.000,46.000,48.000,65.000,96.000,0.000,2744.500,187.000,163.000,74.000,14.000,152.500,231.500,16.764,15.000,,1137.500,,,0.562,
2009,365,1.000,1.000,0.000,0.000,19.388,23.553,16.518,7.035,3466.100,35.000,51.000,127.000,278.000,151.000,45.000,40.000,96.000,82.000,1.000,3029.000,185.000,154.000,73.000,12.000,195.500,387.000,19.568,20.000,1661.500,1367.500,,,0.534,
2010,365,0.951,0.951,0.000,0.000,19.378,23.889,16.291,7.598,3286.400,,,121.000,298.000,177.000,37.000,32.000,,83.000,0.000,2789.500,177.000,149.000,70.000,13.000,248.500,596.500,18.628,13.000,1441.000,,,,0.448,
2011,365,0.934,0.934,0.000,0.000,18.232,22.668,15.267,7.402,,59.000,92.000,114.000,274.000,160.000,69.000,68.000,95.000,80.000,0.000,,,,,,159.500,288.000,,,1649.500,,,,0.440,
2012,366,0.822,0.891,0.000,0.000,,,,,,61.000,89.000,,,,,,91.000,,,,,,,,,,,,3154.000,,,,,
2013,365,0.644,0.633,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,365,0.592,0.589,0.005,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,365,0.101,0.189,0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,366,0.965,0.975,0.000,0.000,20.578,25.067,17.849,7.196,3764.500,,,93.000,326.000,233.000,42.000,37.000,,113.000,1.000,6756.500,213.000,198.000,117.000,35.000,890.000,906.500,34.086,11.000,3032.500,3724.000,,,1.081,
2017,365,0.997,0.997,0.000,0.000,20.474,24.850,17.880,6.970,3819.500,17.000,46.000,105.000,293.000,188.000,25.000,31.000,92.000,117.000,5.000,4144.000,194.000,180.000,105.000,20.000,182.000,372.000,22.983,18.000,1900.000,2244.000,,,1.010,
2018,365,0.926,0.926,0.926,0.926,19.475,23.462,16.781,6.681,,,,131.000,300.000,169.000,42.000,34.000,,58.000,0.000,,,,,,105.500,281.000,,,,,,6.772,1.408,20.284
