year,days,Tmean,TxMaxAbs,TxMinAbs,Precp,SunShine,WS,RH,TxSoil0cm
1990,365,0.8575,0.8575,0.8575,0.8575,0.9151,0.8575,0.8247,0.0
1991,365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1992,366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1993,365,0.9233,0.9233,0.9233,0.9233,0.4685,0.9014,0.8192,0.0
1994,365,1.0,1.0,1.0,1.0,0.7726,1.0,1.0,0.0
1995,365,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1996,366,0.9426,0.9426,0.9426,0.9426,0.0,0.9426,0.9426,0.0
1997,365,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1998,365,0.8685,0.8685,0.8712,0.8932,0.0,0.8932,0.8082,0.0
1999,365,1.0,1.0,1.0,1.0,0.0,1.0,0.989,0.0
2000,366,0.7514,0.7514,0.7514,0.8716,0.0,0.8716,0.8716,0.0
2001,365,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2002,365,0.9616,0.9616,0.9616,0.9616,0.0,0.9616,0.9616,0.0
2003,365,0.9753,0.9753,0.9753,0.9753,0.0,0.9753,0.9753,0.0
2004,366,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2005,365,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2006,365,0.7562,0.7562,0.7562,0.7288,0.0,0.7562,0.7562,0.0
2007,365,0.9151,0.9151,0.9151,0.9151,0.0,0.9151,0.9151,0.0
2008,366,1.0,1.0,1.0,0.9727,0.0,1.0,1.0,0.0
2009,365,1.0,1.0,1.0,1.0,0.0,1.0,0.9808,0.0
2010,365,0.9507,0.9507,0.9507,0.9507,0.0,0.9507,0.9397,0.0
2011,365,0.9342,0.9342,0.9342,0.9342,0.0,0.9342,0.9315,0.0
2012,366,0.8224,0.8224,0.8224,0.8907,0.0,0.8907,0.8798,0.0
2013,365,0.6438,0.6438,0.6438,0.6329,0.0,0.6438,0.6438,0.0
2014,365,0.5918,0.5918,0.5918,0.589,0.0055,0.5808,0.5836,0.0
2015,365,0.1014,0.1014,0.0986,0.189,0.0219,0.1863,0.0658,0.0
2016,366,0.9645,0.9645,0.9617,0.9754,0.0,0.9754,0.959,0.0
2017,365,0.9973,0.9973,0.9973,0.9973,0.0,0.9973,0.9973,0.0
2018,365,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
2019,365,0.9644,0.9644,0.9644,0.9644,0.9644,0.9644,0.9644,0.9644
2020,366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973
2021,365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836
2022,365,0.9726,0.9726,0.9726,0.9726,1.0,1.0,0.9726,0.9699
2023,365,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973
2024,366,0.9891,0.9891,0.9891,0.9891,0.9891,0.9891,0.9891,0.9836
2025,365,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9699
2026,249,1.0,0.996,0.996,1.0,1.0,1.0,1.0,1.0
