year,month,days_present,days_in_month,coverage,tmean,tmax_mean,tmin_mean,precp_total,rain_days_1,sunshine_total,tsoil0_mean
1990,1,31,31,0.290,,,,,,,
1990,2,28,28,1.000,15.554,19.711,13.264,233.500,13.000,68.500,
1990,3,31,31,1.000,15.558,20.132,12.803,133.500,14.000,77.800,
1990,4,30,30,1.000,18.103,22.827,15.323,506.000,20.000,52.200,
1990,5,31,31,1.000,21.587,26.932,18.745,217.500,18.000,85.000,
1990,6,30,30,1.000,23.053,28.567,19.947,608.000,17.000,141.300,
1990,7,31,31,1.000,23.729,30.232,20.010,196.500,6.000,180.500,
1990,8,31,31,1.000,23.252,29.161,19.548,939.500,19.000,172.500,
1990,9,30,30,0.967,21.376,27.062,18.486,709.000,13.000,122.000,
1990,10,31,31,0.968,17.797,21.617,15.840,70.500,6.000,93.000,
1990,11,30,30,0.533,,,,,,83.500,
1990,12,31,31,0.548,,,,,,72.500,
1991,1,31,31,1.000,11.061,14.510,9.094,240.000,18.000,18.000,
1991,2,28,28,1.000,11.571,15.686,9.436,131.500,13.000,42.000,
1991,3,31,31,1.000,15.068,20.045,12.135,131.000,14.000,94.000,
1991,4,30,30,1.000,17.297,23.107,13.967,118.000,9.000,96.500,
1991,5,31,31,1.000,20.629,27.297,16.639,117.500,5.000,204.000,
1991,6,30,30,1.000,22.720,29.700,19.243,553.500,16.000,187.700,
1991,7,31,31,1.000,24.171,31.555,20.152,119.000,6.000,255.000,
1991,8,31,31,1.000,23.213,30.442,19.542,163.500,9.000,241.500,
1991,9,30,30,1.000,21.303,26.067,18.830,702.000,17.000,122.000,
1991,10,31,31,1.000,16.865,20.561,14.694,293.500,21.000,70.000,
1991,11,30,30,1.000,14.903,18.767,12.743,149.500,17.000,90.000,
1991,12,31,31,1.000,13.265,18.326,10.545,97.500,12.000,120.000,
1992,1,31,31,1.000,10.535,14.013,8.452,148.500,17.000,54.500,
1992,2,29,29,1.000,10.690,14.517,8.034,500.000,19.000,82.000,
1992,3,31,31,1.000,13.861,19.800,11.255,231.000,14.000,84.000,
1992,4,30,30,1.000,16.653,22.753,13.520,236.000,18.000,112.000,
1992,5,31,31,1.000,18.610,24.300,15.339,282.500,20.000,123.800,
1992,6,30,30,1.000,21.410,27.613,18.113,294.500,17.000,149.300,
1992,7,31,31,1.000,23.719,31.290,19.581,157.000,6.000,214.400,
1992,8,31,31,1.000,22.977,29.432,19.681,658.500,18.000,171.000,
1992,9,30,30,1.000,21.357,27.503,18.390,558.000,14.000,156.000,
1992,10,31,31,1.000,16.613,20.484,14.419,342.000,16.000,92.000,
1992,11,30,30,1.000,14.727,19.753,11.933,222.500,15.000,119.600,
1992,12,31,31,1.000,13.645,17.929,11.165,129.000,13.000,111.600,
1993,1,31,31,0.903,12.654,16.193,10.296,,,101.000,
1993,2,28,28,1.000,15.218,20.414,12.325,74.500,11.000,108.000,
1993,3,31,31,1.000,16.184,21.290,13.294,251.500,21.000,90.000,
1993,4,30,30,1.000,19.020,24.150,16.320,270.500,19.000,76.300,
1993,5,31,31,1.000,22.758,28.690,19.565,199.000,16.000,,
1993,6,30,30,0.533,,,,,,,
1993,7,31,31,1.000,27.152,35.274,23.177,75.500,7.000,,
1993,8,31,31,1.000,26.458,34.010,22.652,174.000,8.000,,
1993,9,30,30,1.000,24.710,31.367,21.123,88.000,7.000,,
1993,10,31,31,1.000,20.719,25.516,18.119,178.000,16.000,,
1993,11,30,30,0.733,,,,,,105.900,
1993,12,31,31,0.903,14.900,19.557,12.532,,,,
1994,1,31,31,1.000,14.432,18.784,11.829,117.500,14.000,64.700,
1994,2,28,28,1.000,14.721,18.882,12.268,309.500,18.000,55.700,
1994,3,31,31,1.000,15.239,19.819,12.487,257.500,16.000,81.200,
1994,4,30,30,1.000,21.643,27.913,18.433,93.500,11.000,,
1994,5,31,31,1.000,23.319,29.597,19.826,250.000,17.000,,
1994,6,30,30,1.000,25.600,32.817,21.977,377.000,12.000,,
1994,7,31,31,1.000,26.903,33.719,23.155,284.000,8.000,143.000,
1994,8,31,31,1.000,26.371,32.823,22.787,679.500,13.000,,
1994,9,30,30,1.000,23.470,29.577,20.017,335.500,10.000,130.800,
1994,10,31,31,1.000,20.752,25.500,18.029,779.000,14.000,55.500,
1994,11,30,30,1.000,19.807,25.537,17.083,50.000,9.000,23.700,
1994,12,31,31,1.000,17.755,21.500,15.629,249.000,19.000,,
1995,1,31,31,1.000,13.684,17.965,11.071,211.500,16.000,,
1995,2,28,28,1.000,12.461,16.057,10.246,339.000,20.000,,
1995,3,31,31,1.000,15.723,20.997,12.594,211.500,17.000,,
1995,4,30,30,1.000,20.433,26.487,17.060,162.000,12.000,,
1995,5,31,31,1.000,22.161,28.297,18.761,270.000,15.000,,
1995,6,30,30,1.000,25.260,32.143,21.317,192.000,14.000,,
1995,7,31,31,1.000,26.445,33.768,22.839,220.000,14.000,,
1995,8,31,31,1.000,26.255,33.458,22.265,193.000,13.000,,
1995,9,30,30,1.000,24.387,30.807,21.033,204.500,11.000,,
1995,10,31,31,1.000,21.832,26.310,19.729,119.500,16.000,,
1995,11,30,30,1.000,17.390,21.753,14.860,165.000,15.000,,
1995,12,31,31,1.000,13.877,17.458,11.855,80.000,12.000,,
1996,1,31,31,1.000,14.203,18.645,11.665,80.500,18.000,,
1996,2,29,29,1.000,13.293,17.700,10.441,196.500,14.000,,
1996,3,31,31,1.000,17.103,23.290,13.829,148.500,14.000,,
1996,4,30,30,1.000,17.307,22.660,14.177,238.000,17.000,,
1996,5,31,31,1.000,21.194,26.535,18.471,273.500,16.000,,
1996,6,30,30,1.000,26.240,34.207,22.150,165.500,10.000,,
1996,7,31,31,1.000,26.539,34.355,22.787,587.000,14.000,,
1996,8,31,31,0.968,26.957,33.840,23.543,301.500,12.000,,
1996,9,30,30,0.667,,,,,,,
1996,10,31,31,0.677,,,,,,,
1996,11,30,30,1.000,19.317,22.050,17.620,206.000,19.000,,
1996,12,31,31,1.000,16.816,22.016,13.894,40.000,9.000,,
1997,1,31,31,1.000,15.561,19.655,13.294,94.500,17.000,,
1997,2,28,28,1.000,16.279,19.725,14.182,268.500,18.000,,
1997,3,31,31,1.000,19.526,25.294,16.239,157.500,12.000,,
1997,4,30,30,1.000,21.747,27.780,18.533,211.000,10.000,,
1997,5,31,31,1.000,24.106,31.439,20.252,171.500,10.000,,
1997,6,30,30,1.000,23.777,30.950,20.503,521.500,19.000,,
1997,7,31,31,1.000,26.003,34.271,21.952,197.500,13.000,,
1997,8,31,31,1.000,25.839,32.177,22.987,836.500,15.000,,
1997,9,30,30,1.000,22.763,29.060,20.063,302.000,16.000,,
1997,10,31,31,1.000,21.271,26.819,18.571,122.500,10.000,,
1997,11,30,30,1.000,19.520,26.000,16.167,46.500,7.000,,
1997,12,31,31,1.000,16.032,20.384,13.781,169.000,18.000,,
1998,1,31,31,1.000,13.868,18.503,11.242,217.000,23.000,,
1998,2,28,28,0.893,,,12.642,,,,
1998,3,31,31,0.903,18.211,24.439,14.786,,,,
1998,4,30,30,1.000,22.033,29.503,18.143,243.500,14.000,,
1998,5,31,31,1.000,23.452,31.187,20.210,433.000,22.000,,
1998,6,30,30,1.000,25.393,32.973,21.720,247.000,15.000,,
1998,7,31,31,0.000,,,,,,,
1998,8,31,31,0.871,,,,,,,
1998,9,30,30,0.900,24.093,30.507,21.007,598.000,15.000,,
1998,10,31,31,1.000,22.971,27.406,20.787,1447.000,18.000,,
1998,11,30,30,0.867,,,,285.500,16.000,,
1998,12,31,31,1.000,18.087,21.455,16.058,291.000,19.000,,
1999,1,31,31,1.000,15.848,20.652,13.697,115.000,15.000,,
1999,2,28,28,1.000,14.954,21.496,11.468,43.000,8.000,,
1999,3,31,31,1.000,18.568,24.065,15.326,208.000,18.000,,
1999,4,30,30,1.000,20.173,26.790,16.560,55.500,10.000,,
1999,5,31,31,1.000,21.448,27.952,17.852,289.500,15.000,,
1999,6,30,30,1.000,25.553,33.520,21.870,531.000,18.000,,
1999,7,31,31,1.000,25.981,33.739,22.661,336.500,17.000,,
1999,8,31,31,1.000,25.387,34.177,21.597,357.500,19.000,,
1999,9,30,30,1.000,24.373,31.457,20.910,217.000,10.000,,
1999,10,31,31,1.000,22.006,27.719,19.532,235.500,12.000,,
1999,11,30,30,1.000,18.917,23.840,16.523,116.000,16.000,,
1999,12,31,31,1.000,15.710,19.413,13.177,259.000,17.000,,
2000,1,31,31,1.000,15.803,20.919,12.929,168.000,15.000,,
2000,2,29,29,0.862,,,,445.500,21.000,,
2000,3,31,31,0.355,,,,155.000,13.000,,
2000,4,30,30,1.000,19.023,24.297,15.900,434.000,22.000,,
2000,5,31,31,1.000,22.852,29.645,19.058,194.500,10.000,,
2000,6,30,30,0.167,,,,,,,
2000,7,31,31,0.806,,,,,,,
2000,8,31,31,1.000,27.261,34.177,23.965,574.000,19.000,,
2000,9,30,30,0.167,,,,,,,
2000,10,31,31,1.000,22.897,28.239,20.342,416.000,17.000,,
2000,11,30,30,0.667,,,,,,,
2000,12,31,31,0.968,17.290,20.973,15.183,334.500,22.000,,
2001,1,31,31,1.000,15.271,21.123,12.116,281.000,16.000,,
2001,2,28,28,1.000,15.957,21.186,12.529,62.000,15.000,,
2001,3,31,31,1.000,16.829,23.452,12.813,197.500,13.000,,
2001,4,30,30,1.000,19.557,25.433,16.270,280.000,19.000,,
2001,5,31,31,1.000,23.290,28.690,20.223,214.000,22.000,,
2001,6,30,30,1.000,26.420,34.550,22.377,627.000,16.000,,
2001,7,31,31,1.000,27.655,35.323,23.606,276.500,14.000,,
2001,8,31,31,1.000,26.597,32.577,23.029,150.500,8.000,,
2001,9,30,30,1.000,23.443,26.980,21.563,2149.000,23.000,,
2001,10,31,31,1.000,20.726,24.435,18.629,233.500,12.000,,
2001,11,30,30,1.000,16.870,20.673,14.383,83.000,11.000,,
2001,12,31,31,1.000,14.955,18.526,12.552,144.500,16.000,,
2002,1,31,31,1.000,13.071,16.803,10.216,116.500,12.000,,
2002,2,28,28,1.000,14.425,18.525,11.721,91.500,10.000,,
2002,3,31,31,1.000,17.829,22.052,15.084,118.500,14.000,,
2002,4,30,30,1.000,20.773,25.737,17.620,37.500,6.000,,
