year,season,days,tmean,precp_total
1990,DJF,59,,
1990,JJA,92,23.348,1744.000
1990,MAM,92,18.420,857.000
1990,SON,91,,
1991,DJF,90,,
1991,JJA,92,23.375,836.000
1991,MAM,92,17.668,366.500
1991,SON,91,17.681,1145.000
1992,DJF,91,11.514,746.000
1992,JJA,92,22.716,1110.000
1992,MAM,92,16.372,749.500
1992,SON,91,17.555,1122.500
1993,DJF,90,13.832,457.000
1993,JJA,92,,
1993,MAM,92,19.324,721.000
1993,SON,91,22.184,
1994,DJF,90,14.676,542.000
1994,JJA,92,26.299,1340.500
1994,MAM,92,20.050,601.000
1994,SON,91,21.336,1164.500
1995,DJF,90,14.706,799.500
1995,JJA,92,25.995,605.000
1995,MAM,92,19.428,643.500
1995,SON,91,21.210,489.000
1996,DJF,91,13.802,357.000
1996,JJA,92,26.578,1054.000
1996,MAM,92,18.548,660.000
1996,SON,91,,
1997,DJF,90,16.217,403.000
1997,JJA,92,25.222,1555.500
1997,MAM,92,21.793,540.000
1997,SON,91,21.186,471.000
1998,DJF,90,15.026,778.000
1998,JJA,92,,
1998,MAM,92,21.325,889.500
1998,SON,91,22.590,2330.500
1999,DJF,90,16.341,449.000
1999,JJA,92,25.641,1225.000
1999,MAM,92,20.062,553.000
1999,SON,91,21.768,568.500
2000,DJF,91,15.731,872.500
2000,JJA,92,,
2000,MAM,92,,783.500
2000,SON,91,,
2001,DJF,90,16.167,677.500
2001,JJA,92,26.896,1054.000
2001,MAM,92,19.896,691.500
2001,SON,91,20.351,2465.500
2002,DJF,90,14.141,352.500
2002,JJA,92,25.776,858.000
2002,MAM,92,20.558,339.500
2002,SON,91,,
2003,DJF,90,14.306,342.000
2003,JJA,92,25.989,344.000
2003,MAM,92,19.151,
2003,SON,91,21.399,815.500
2004,DJF,91,13.729,473.500
2004,JJA,92,25.327,1384.500
2004,MAM,92,18.997,881.000
2004,SON,91,20.427,1586.000
2005,DJF,90,13.792,887.500
2005,JJA,92,25.597,1540.500
2005,MAM,92,18.821,957.500
2005,SON,91,21.724,915.000
2006,DJF,90,13.907,354.500
2006,JJA,92,,
2006,MAM,92,19.112,500.000
2006,SON,91,,
2007,DJF,90,14.768,557.500
2007,JJA,92,,
2007,MAM,92,,
2007,SON,91,20.166,1858.000
2008,DJF,91,13.155,505.500
2008,JJA,92,25.246,720.000
2008,MAM,92,18.816,808.000
2008,SON,91,21.455,
2009,DJF,90,14.283,381.000
2009,JJA,92,25.220,983.000
2009,MAM,92,17.941,654.000
2009,SON,91,20.511,973.500
2010,DJF,90,,
2010,JJA,92,24.455,850.500
2010,MAM,92,18.304,396.000
2010,SON,91,19.873,1231.000
2011,DJF,90,11.742,439.500
2011,JJA,92,24.320,1022.500
2011,MAM,92,16.622,717.500
2011,SON,91,19.687,963.000
2012,DJF,91,,
2012,JJA,92,,1761.000
2012,MAM,92,16.992,866.000
2012,SON,91,,
2013,DJF,90,,
2013,JJA,92,,
2013,MAM,92,,
2013,SON,91,20.965,
2014,DJF,90,,
2014,JJA,92,,
2014,MAM,92,,
2014,SON,91,,
2015,DJF,90,,
2015,JJA,92,,
2015,MAM,92,,
2015,SON,91,,
2016,DJF,91,,1429.500
2016,JJA,92,26.204,983.000
2016,MAM,92,19.160,
2016,SON,91,22.424,3015.500
2017,DJF,90,15.093,611.500
2017,JJA,92,26.352,1080.000
2017,MAM,92,18.916,1000.500
2017,SON,91,22.267,1216.500
2018,DJF,90,12.886,947.500
2018,JJA,92,,
2018,MAM,92,19.861,
2018,SON,91,20.231,1023.500
2019,DJF,90,15.010,
2019,JJA,92,25.911,963.000
2019,MAM,92,18.788,567.500
2019,SON,91,20.832,1031.000
2020,DJF,91,15.080,379.500
2020,JJA,92,26.402,797.000
2020,MAM,92,19.299,853.000
2020,SON,91,21.292,559.500
2021,DJF,90,14.369,527.000
2021,JJA,92,25.913,1243.000
2021,MAM,92,20.333,446.500
2021,SON,91,21.635,971.500
2022,DJF,90,13.994,651.000
2022,JJA,92,,
2022,MAM,92,19.175,980.500
2022,SON,91,21.593,1841.500
2023,DJF,90,13.899,552.000
2023,JJA,92,26.105,1021.500
2023,MAM,92,19.392,491.500
2023,SON,91,21.931,651.000
2024,DJF,91,14.706,436.000
2024,JJA,92,26.082,1205.000
2024,MAM,92,20.126,577.000
2024,SON,91,22.462,1353.500
2025,DJF,90,13.186,421.000
2025,JJA,92,26.035,777.000
2025,MAM,92,19.479,937.500
2025,SON,91,22.930,1404.000
2026,DJF,90,14.750,454.000
2026,JJA,81,,
2026,MAM,92,20.116,589.000
