year,days,cov_tmean,cov_precp,cov_sunshine,cov_soil0cm,tmean,tmax_mean,tmin_mean,dtr,gdd10,gdd10_doy100,gdd10_doy200,warm_season_start_doy,warm_season_end_doy,warm_season_length,chill_days_tmin10,cold_days_tmean12,last_cold_day_doy,summer_days_tmax30,hot_nights_tmin25,precp_total,rain_days_01,rain_days_1,rain_days_10,rain_days_50,rx1day,rx5day,sdii,max_dry_spell,precp_wet_season,precp_dry_season,sunshine_total,sunshine_daily_mean,ws_mean,tsoil0_mean
1990,365,0.984,0.000,0.984,0.000,20.281,,,,3696.400,22.000,42.000,117.000,325.000,208.000,,17.000,,,,,,,,,,,,,,,733.000,2.042,1.834,
1991,365,0.992,0.000,0.992,0.000,20.243,,,,3721.300,26.000,48.000,99.000,279.000,180.000,,23.000,,,,,,,,,,,,,,,808.200,2.233,1.648,
1992,366,0.986,0.000,0.986,0.000,19.617,,,,3486.900,34.000,63.000,116.000,287.000,171.000,,30.000,,,,,,,,,,,,,,,785.600,2.176,1.592,
1993,365,0.997,0.000,0.997,0.000,20.098,,,,3698.200,34.000,51.000,117.000,325.000,208.000,,28.000,,,,,,,,,,,,,,,936.700,2.573,1.573,
1994,365,0.943,0.000,0.995,0.000,20.092,,,,,,,93.000,293.000,200.000,,19.000,,,,,,,,,,,,,,,707.800,1.950,1.708,
1995,365,1.000,0.000,1.000,0.000,19.618,,,,3538.200,29.000,68.000,103.000,311.000,208.000,,44.000,,,,,,,,,,,,,,,777.900,2.131,1.624,
1996,366,0.989,0.000,0.989,0.000,20.020,,,,3642.000,30.000,64.000,117.000,317.000,200.000,,34.000,,,,,,,,,,,,,,,796.100,2.199,1.793,
1997,365,0.997,0.000,0.997,0.000,20.007,,,,3654.400,32.000,58.000,117.000,300.000,183.000,,26.000,,,,,,,,,,,,,,,715.900,1.967,1.681,
1998,365,0.940,0.000,1.000,0.000,20.896,,,,,,,84.000,309.000,225.000,,22.000,,,,,,,,,,,,,,,636.200,1.743,1.747,
1999,365,0.918,0.000,0.997,0.000,20.354,,,,,,,132.000,316.000,184.000,,23.000,,,,,,,,,,,,,,,581.300,1.597,1.799,
